"id","Name","Description","Abbreviation","Factor","deleted_at"
"6FBF0113-4BBA-498F-8687-22DEAC5B18AB",Метр,,м,1.0,
"4F9A54CF-3DCA-4B9B-8B2F-2DC8DC101F32",Миллиметр,,мм,0.001,
"1AA610DF-5E56-4F70-845D-9759748F6C03",Метр кубический,,м³,1.0,
A4BFC95C-356E-421E-A5F0-0D1F50B963E1,Миллиметр квадратный,,мм²,0.000001,
B5637149-1521-43F1-A56C-3A41FF5B0325,Кельвин,,К,1.0,
"777FEFA2-AD08-4D1E-AC5C-85190BE7DB7A",Градус Цельсия,,°C,1.0,
E3FEB63B-626D-41B4-B59A-36E79441834B,Градус Фаренгейта,,°F,1.8,
"35E8E77B-3084-4D0D-A4FE-89B81054FEFC",Километр,,км,1000.0,
F0C88CF7-6A6F-4389-8056-E2178ADC6F9F,Литр,,л,0.001,
F8B30AD2-6E78-4CBA-9DD1-D0900EE989C7,Миллилитр,,мл,0.001,
"092395BC-E5F4-4883-96A1-DF08D6AA1D96",Грамм,,г,0.001,
C34C83A9-BB57-4197-975A-0DB4873C1ACD,Килограмм,,кг,1.0,
"6C6D7865-F1E9-4DD1-9C95-9AD9E37C8F20",Тонна,,т,1000.0,
"67300DC3-E800-4BE8-AAE3-357E14CA753B",Миллиграмм,,мг,0.000001,
"19481ED1-9D4A-418F-8078-BB15C89ED787",Секунда,,с,1.0,
C694609F-B2E9-4D85-AB44-FBF48F37A71A,Миллисекунда,,мс,0.001,
"2E754321-3881-4BFA-87E9-6482F8913B0F",Минута,,мин,60.0,
"5A792493-25BD-41BA-9416-9D29C6590688",Час,,ч,60.0,
"7F5B38A9-5012-4A9D-9006-D7CA83A69847",День,,д,24.0,
C7C096E8-5484-40C3-8512-ABF761C8BFCD,Процент,,%,0.01,
"622F947E-AC75-476B-8D1A-5A95E614930C",Штука,,шт.,1.0,
"58DDF36C-1781-494D-A520-59D2C2BC53F0",Единица,,ед,1.0,
"7F9A4C54-6A27-48E5-95F6-D037E7CCB96F",Отсутствует,,-,1.0,
F221D087-1CE1-434E-8AA5-46A11E7F77A3,Сантиметр,,см,0.01,
"8D52E8D4-96C2-4525-97DE-40153E8EB6C7",Дециметр,,дм,0.1,
"855F9E3B-B087-4703-8E2E-74FDE86030D2",Паскаль,,Па,98066.5,
"66E970D3-969F-4590-9743-2F50B525103F",кПа,,кПа,0.001,
"858DD217-5067-4B29-9F77-41A91E8F66FF",МПа,,МПа,0.000001,
DFA6F146-EDA8-45DB-8455-FCD15AF9E3D2,килограмм на метр кубический,,кг/м3,1.0,
"282629EF-E613-4B39-A09A-487A3A2441A6",Грамм на сантиметр кубический,,г\см3,0.001,
